,기업,주 업무,위치,경력
58,리메이크디지털,엔진 개발자,"서울 서초구 강남대로 311, (서초동) 14층",2 ~ 10년 경력
59,스캐터랩,[핑퐁] 머신러닝 소프트웨어 엔지니어,"서울시 성동구 왕십리로 125, KD 운송타워(패스트파이브 서울숲점) 901호",경력 무관
60,데일리펀딩,Web Full-stack 개발자,"서울 강남구 강남대로 476, (논현동) 13층 데일리펀딩",3 ~ 9년 경력
61,클로버추얼패션,Software Engineer (C/C++) - MacOS,"서울 강남구 도산대로8길 17-4, (논현동)",경력 무관
62,Xinics,DevOps 엔지니어,"서울 구로구 디지털로31길 20, (구로동) 610호",1 ~ 15년 경력
63,리턴제로,"AI 연구 개발, 서비스 개발",서울시 강남구 테헤란로82길 15 7층,경력 무관
64,올거나이즈코리아,Python 백엔드 개발자,"서울특별시 강남구 도곡로3길 27, 동일빌딩 12층",2 ~ 3년 경력
65,아이시큐어,웹 서비스 개발자,"서울 금천구 가산디지털1로 131 A동 2001-가(가산동, BYC하이시티)",경력 무관
66,빅트리,서버 구축 및 운영,"서울 중구 명동길 65, (명동1가) 1201호",5 ~ 30년 경력
67,엔젤스윙,GIS 웹 엔지니어,서울시 관악구 관악로1 서울대학교 연구공원 본관 519~521호,2 ~ 20년 경력
68,브랜디,데이터 엔지니어,서울시 강남구 테헤란로32길 26,경력 무관
69,브랜디,Back-end 개발자,서울시 강남구 테헤란로32길 26,경력 무관
70,한국신용데이터,데이터 엔지니어링 리드(Python),"서울 강남구 테헤란로 127, (역삼동) 10층",5 ~ 24년 경력
71,한국신용데이터,데이터 엔지니어(Python),"서울 강남구 테헤란로 127, (역삼동) 10층",3 ~ 10년 경력
